gamma_1,gamma_3,gamma_5,gamma_10,gamma_15,gamma_25,short_cons,D_max,timestamp,T-bills rf
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,LS,0.1,2007-09-21,476.3258
992.72313879163,992.7701179279999,992.804532828129,992.7579407934721,992.7188026025993,993.1303108587399,LS,0.1,2007-09-24,476.4155
990.956119897568,991.0283422046796,991.057473762826,991.630244943728,992.0750274782446,992.9674406821025,LS,0.1,2007-09-25,476.5275
993.7672778157053,993.7821197808377,993.7664600321466,993.9979925312382,994.1833348899563,994.8511655457584,LS,0.1,2007-09-26,476.5578
1011.8933682075788,1011.7663632775437,1011.6500199207239,1010.390940192232,1009.5421940165911,1007.939104456087,LS,0.1,2007-09-27,476.6298
1005.888805376169,1005.4272592875649,1005.2457488735695,1005.0326465422648,1004.9960114991491,1004.2138955819358,LS,0.1,2007-09-28,476.6801
1006.568506051453,1006.1954350011603,1006.7995766100524,1007.5552590463872,1007.8139401460464,1007.2689131286622,LS,0.1,2007-10-01,476.6747
1010.3107411748214,1009.8304294771671,1010.4023475235998,1010.7794111641798,1010.70693836446,1009.6775338736844,LS,0.1,2007-10-02,476.6952
1005.8299584487245,1005.1017457632956,1005.7957173003995,1006.7389634572337,1007.1405247918883,1006.6686490131755,LS,0.1,2007-10-03,476.7589
1008.4163318859443,1007.7283971768344,1007.9356839952352,1008.3832729888511,1008.5979250797136,1007.9823089703275,LS,0.1,2007-10-04,476.8164
1010.6474787528384,1009.5448620047131,1009.5620300368582,1010.1708264083908,1010.3519052808005,1009.6373630935889,LS,0.1,2007-10-05,476.8201
1001.1822458955269,1000.8035916043909,1002.1556409961106,1004.6754102578872,1005.6596983306883,1005.6921813204481,LS,0.1,2007-10-08,476.904
1010.7020585678425,1009.410294556857,1009.8620841373095,1011.1248210548679,1011.4388759934146,1010.6966894211198,LS,0.1,2007-10-09,476.9879
1016.662768259502,1014.5386047537933,1014.2359564609882,1014.6015496228679,1014.4261666728487,1013.0510559446001,LS,0.1,2007-10-10,477.0459
1023.4142563151952,1019.964329790602,1018.5139172986328,1017.8519083218243,1017.3237218317579,1015.1693162621083,LS,0.1,2007-10-11,477.026
1020.2416045371486,1016.6262041250301,1015.0629566966936,1014.751549932184,1014.5025359570568,1012.9327154762566,LS,0.1,2007-10-12,477.0024
