gamma_1,gamma_3,gamma_5,gamma_10,gamma_15,gamma_25,short_cons,D_max,timestamp,T-bills rf
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,LO,0.1,2007-09-21,476.3258
994.0377334845631,994.0745965089899,994.1119321996796,993.763485728832,993.5983608927834,993.3485716025272,LO,0.1,2007-09-24,476.4155
992.7971127298847,992.8207585979262,992.7882678161374,992.6923525797708,993.2441416852226,993.4295007232671,LO,0.1,2007-09-25,476.5275
994.9664989861255,994.7902775276063,994.3126200981656,994.2786984902333,994.843657575509,994.9166120370347,LO,0.1,2007-09-26,476.5578
1015.0814740675559,1013.268085967839,1012.67175549573,1009.8396138202799,1009.3160375210031,1006.7271913519693,LO,0.1,2007-09-27,476.6298
1009.6842655834851,1007.9941644077373,1007.4333352070253,1004.7572673115261,1005.4712436792505,1003.8720718363304,LO,0.1,2007-09-28,476.6801
1011.1220908425624,1008.7975069134876,1009.6156511296033,1008.2316745438577,1009.0776864433533,1007.4878357538589,LO,0.1,2007-10-01,476.6747
1013.670502537251,1011.5368269624205,1011.9133338427024,1011.0505732305683,1011.7412629816915,1009.3335360758147,LO,0.1,2007-10-02,476.6952
1008.705412062889,1006.7780290306392,1006.9825120309898,1005.9728098097565,1007.1309727444298,1005.5366072049388,LO,0.1,2007-10-03,476.7589
1010.6028596770356,1008.6912670279513,1008.0729643203692,1006.343585991261,1007.2132157264014,1005.6614781161838,LO,0.1,2007-10-04,476.8164
1019.0161688563429,1016.7285965903599,1015.4229583170495,1010.1727368551841,1010.0878583725846,1008.4056932016284,LO,0.1,2007-10-05,476.8201
1008.4062977810793,1006.7503433361292,1007.3219251314763,1003.9477962400196,1005.5335865054425,1005.408312438094,LO,0.1,2007-10-08,476.904
1019.019244368067,1016.9773172433161,1016.8590097314495,1012.0208107531911,1012.1125540325254,1010.4635681508795,LO,0.1,2007-10-09,476.9879
1026.1725108877456,1023.2469783587035,1022.2168468925531,1015.8201983143117,1015.2584254337476,1013.0687914070877,LO,0.1,2007-10-10,477.0459
1033.4383198060443,1028.9293300740942,1026.7374827455533,1018.539301270844,1017.2165598116252,1015.4253099388563,LO,0.1,2007-10-11,477.026
1030.3669408893911,1025.7901161515103,1023.5290150542556,1014.9291971707863,1013.5250463766772,1012.6799213922284,LO,0.1,2007-10-12,477.0024
1037.752485513706,1030.095905372582,1026.4746335746167,1016.5176666141878,1014.5705770206555,1014.2276272523728,LO,0.1,2007-10-15,477.0854
1031.3743389053616,1021.7842115778316,1017.350600818616,1007.1145711203535,1006.2679929465899,1008.5347549263585,LO,0.1,2007-10-16,477.1822
1033.9022794660366,1024.7989315056018,1020.5779595122783,1010.6614235774074,1010.3064266141942,1012.9370477760597,LO,0.1,2007-10-17,477.4737
1035.8580619858446,1024.9227695105321,1019.8983834491075,1009.6198683268736,1010.1163499896168,1014.1361914285027,LO,0.1,2007-10-18,477.6776
1022.4722505704543,1010.5971182213003,1005.1649930346697,995.6238832835093,998.9529568134699,1005.8056106388032,LO,0.1,2007-10-19,477.7221
1018.1443842563187,1006.7765055902493,1001.9237031526734,993.360465799123,996.6972065148808,1003.6171540027476,LO,0.1,2007-10-22,477.784
1015.5861499590899,1003.6972962050505,998.3630675753479,990.9322870059173,995.7719018845331,1003.8548949395241,LO,0.1,2007-10-23,477.8158
1022.724175369227,1011.07258754167,1005.889917229032,997.2962207495364,1001.2408554463466,1008.6012834125196,LO,0.1,2007-10-24,477.9558
1031.8739560016295,1019.6842475057298,1013.9492039801553,1003.1511355615187,1005.9466314478177,1012.3382689021076,LO,0.1,2007-10-25,477.9317
1042.3854839856226,1027.9446357080585,1021.2678683271915,1009.8831004891462,1012.418336094737,1018.5023204216299,LO,0.1,2007-10-26,477.9643
1052.7919934177478,1037.5290576617494,1030.3807979298147,1018.1711110395058,1020.0552433157993,1025.5496710746313,LO,0.1,2007-10-29,478.1046
1044.6814368103678,1029.7520956281726,1022.9801858152978,1011.5837383005662,1014.8628215953111,1021.5911442491665,LO,0.1,2007-10-30,478.1687
1051.6507363808287,1036.0693945806354,1028.6699986960123,1016.351036074695,1017.8896348886077,1023.0832391357951,LO,0.1,2007-10-31,478.2535
1057.2730880023837,1042.3826873273417,1035.062307422965,1021.1816387094763,1022.4238795879786,1027.495432436942,LO,0.1,2007-11-01,478.4436
1067.100741880355,1052.3883979774262,1044.7379637022693,1030.2578688346466,1030.317779426665,1033.61407722895,LO,0.1,2007-11-02,478.7202
1067.3319748221863,1052.559126450225,1044.275119507316,1028.96440313484,1028.9696541441733,1032.6765529255774,LO,0.1,2007-11-05,478.8157
1076.311070659629,1061.27568152418,1051.6049105208408,1035.7458106249376,1035.3922092138512,1037.988345672519,LO,0.1,2007-11-06,478.7951
1085.2807009871046,1070.2064485048272,1059.7051333380846,1042.6093023729838,1040.7449283099027,1042.2363013097631,LO,0.1,2007-11-07,479.1479
1090.211395976448,1075.3150447549656,1064.4398121336421,1047.0739791548563,1044.8452248937679,1046.3474147991153,LO,0.1,2007-11-08,479.2596
