Time / Name,Hedge Funds Global,MSCI World,MSCI Emerging Markets,European Public Real Estate,S&P Crude Oil Index,Gold,Barclays US Treasury Bond Index,S&P Listed Private Equity Index
1980-01-01 00.00.00,,7.021716,,,,,,
1980-01-02 00.00.00,,6.9257814,,,,29.8465,,
1980-01-03 00.00.00,,6.907452,,,,33.8302,,
1980-01-04 00.00.00,,6.962952,,,,31.4698,,
1980-01-07 00.00.00,,6.9889225,,,,33.8131,,
1980-01-08 00.00.00,,7.075711,,,,32.6045,,
1980-01-09 00.00.00,,7.0957458,,,,32.4609,,
1980-01-10 00.00.00,,7.15292,,,,32.3128,,
1980-01-11 00.00.00,,7.186134,,,,33.4551,,
1980-01-14 00.00.00,,7.2266805,,,,35.4486,,
1980-01-15 00.00.00,,7.2988955,,,,36.9018,,
1980-01-16 00.00.00,,7.289975,,,,40.964,,
1980-01-17 00.00.00,,7.2839165,,,,40.4363,,
1980-01-18 00.00.00,,7.2934726,,,,44.9982,,
1980-01-21 00.00.00,,7.3512784,,,,45.8915,,
1980-01-22 00.00.00,,7.3375968,,,,39.943,,
1980-01-23 00.00.00,,7.3917005,,,,37.5474,,
1980-01-24 00.00.00,,7.4237675,,,,38.7539,,
1980-01-25 00.00.00,,7.4512295,,,,36.1889,,
1980-01-28 00.00.00,,7.498732,,,,33.8582,,
1980-01-29 00.00.00,,7.5049983,,,,36.5915,,
1980-01-30 00.00.00,,7.5578754,,,,37.4937,,
1980-01-31 00.00.00,,7.5573127,,,,35.6081,1.4589,
1980-02-01 00.00.00,,7.581359,,,,36.9031,,
1980-02-04 00.00.00,,7.5455325,,,,36.4645,,
1980-02-05 00.00.00,,7.5557804,,,,37.1417,,
1980-02-06 00.00.00,,7.5787149,,,,38.4384,,
1980-02-07 00.00.00,,7.651072,,,,37.9972,,
1980-02-08 00.00.00,,7.7328701,,,,37.6656,,
1980-02-11 00.00.00,,7.7373947,,,,38.6299,,
1980-02-12 00.00.00,,7.7542494,,,,37.76,,
1980-02-13 00.00.00,,7.7794096,,,,37.8196,,
1980-02-14 00.00.00,,7.7199584,,,,37.0462,,
1980-02-15 00.00.00,,7.6599339,,,,36.3048,,
1980-02-18 00.00.00,,7.6544909,,,,36.0054,,
1980-02-19 00.00.00,,7.6208056,,,,35.5607,,
1980-02-20 00.00.00,,7.6455094,,,,32.9482,,
1980-02-21 00.00.00,,7.6270447,,,,36.2259,,
1980-02-22 00.00.00,,7.6479382,,,,34.5366,,
1980-02-25 00.00.00,,7.5700205,,,,33.8428,,
1980-02-26 00.00.00,,7.5828044,,,,35.2724,,
1980-02-27 00.00.00,,7.5374948,,,,34.91,,
1980-02-28 00.00.00,,7.5554771,,,,35.4686,1.3873,
1980-02-29 00.00.00,,7.623105,,,,35.1242,1.3873,
1980-03-03 00.00.00,,7.6407805,,,,35.2555,,
1980-03-04 00.00.00,,7.6190415,,,,35.1291,,
1980-03-05 00.00.00,,7.5498933,,,,35.8365,,
1980-03-06 00.00.00,,7.4899615,,,,35.0873,,
1980-03-07 00.00.00,,7.3719335,,,,34.1954,,
1980-03-10 00.00.00,,7.3385568,,,,33.0642,,
1980-03-11 00.00.00,,7.380861,,,,32.2647,,
1980-03-12 00.00.00,,7.3518744,,,,33.0569,,
1980-03-13 00.00.00,,7.3405929,,,,31.6621,,
1980-03-14 00.00.00,,7.3091075,,,,29.9417,,
1980-03-17 00.00.00,,7.2842055,,,,28.3382,,
1980-03-18 00.00.00,,7.3473496,,,,28.2207,,
1980-03-19 00.00.00,,7.357888,,,,30.7478,,
1980-03-20 00.00.00,,7.3340016,,,,32.6979,,
1980-03-21 00.00.00,,7.328832,,,,30.87,,
1980-03-24 00.00.00,,7.22505,,,,32.9256,,
1980-03-25 00.00.00,,7.251204,,,,32.4519,,
1980-03-26 00.00.00,,7.2196954,,,,29.9983,,
1980-03-27 00.00.00,,7.1938763,,,,28.9816,,
1980-03-28 00.00.00,,7.3004566,,,,29.3167,,
1980-03-31 00.00.00,,7.445228,,,,29.942,1.4026,
1980-04-01 00.00.00,,7.46457,,,,31.0795,,
1980-04-02 00.00.00,,7.4545944,,,,30.3904,,
1980-04-03 00.00.00,,7.457728,,,,29.5336,,
1980-04-04 00.00.00,,7.4914595,,,,,,
1980-04-07 00.00.00,,7.4486335,,,,,,
1980-04-08 00.00.00,,7.3434468,,,,31.9018,,
1980-04-09 00.00.00,,7.309324,,,,32.5198,,
1980-04-10 00.00.00,,7.3837405,,,,30.7973,,
1980-04-11 00.00.00,,7.36155,,,,30.9945,,
1980-04-14 00.00.00,,7.308399,,,,30.7785,,
1980-04-15 00.00.00,,7.3833312,,,,29.3575,,
1980-04-16 00.00.00,,7.200444,,,,30.108,,
1980-04-17 00.00.00,,7.224422,,,,29.6514,,
1980-04-18 00.00.00,,7.2104297,,,,29.763,,
1980-04-21 00.00.00,,7.1652284,,,,29.1658,,
1980-04-22 00.00.00,,7.3469492,,,,29.1995,,
1980-04-23 00.00.00,,7.2582464,,,,28.8654,,
1980-04-24 00.00.00,,7.3215114,,,,29.4104,,
1980-04-25 00.00.00,,7.3407048,,,,31.4024,,
1980-04-28 00.00.00,,7.3174392,,,,29.5362,,
1980-04-29 00.00.00,,7.337016,,,,28.9241,,
1980-04-30 00.00.00,,7.3621004,,,,29.2048,1.5361,
1980-05-01 00.00.00,,7.352829,,,,27.6507,,
1980-05-02 00.00.00,,7.4341855,,,,29.2381,,
1980-05-05 00.00.00,,7.3667467,,,,,,
1980-05-06 00.00.00,,7.4115132,,,,28.8435,,
1980-05-07 00.00.00,,7.422188,,,,28.6008,,
1980-05-08 00.00.00,,7.4094615,,,,29.0625,,
1980-05-09 00.00.00,,7.405875,,,,28.8432,,
1980-05-12 00.00.00,,7.3473237,,,,28.8062,,
1980-05-13 00.00.00,,7.448186,,,,28.7744,,
1980-05-14 00.00.00,,7.460348,,,,29.3869,,
1980-05-15 00.00.00,,7.4727211,,,,28.9675,,
1980-05-16 00.00.00,,7.4546105,,,,28.9627,,
1980-05-19 00.00.00,,7.468195,,,,28.9241,,
1980-05-20 00.00.00,,7.47996,,,,28.599,,
1980-05-21 00.00.00,,7.471062,,,,28.6533,,
1980-05-22 00.00.00,,7.514976,,,,27.8807,,
1980-05-23 00.00.00,,7.5727644,,,,28.359,,
1980-05-26 00.00.00,,7.5816396,,,,,,
1980-05-27 00.00.00,,7.57845,,,,28.314,,
1980-05-28 00.00.00,,7.6027032,,,,29.0312,,
1980-05-29 00.00.00,,7.5402442,,,,28.7469,,
1980-05-30 00.00.00,,7.5482239,,,,29.5971,1.592,
1980-06-02 00.00.00,,7.5846834,,,,31.1043,,
1980-06-03 00.00.00,,7.5437676,,,,30.5477,,
1980-06-04 00.00.00,,7.6308408,,,,31.6154,,
1980-06-05 00.00.00,,7.669959,,,,32.1562,,
1980-06-06 00.00.00,,7.6799976,,,,32.9663,,
1980-06-09 00.00.00,,7.6845384,,,,34.169,,
1980-06-10 00.00.00,,7.7167723,,,,33.0539,,
1980-06-11 00.00.00,,7.7813757,,,,32.6668,,
1980-06-12 00.00.00,,7.787472,,,,32.3792,,
1980-06-13 00.00.00,,7.795452,,,,33.2126,,
1980-06-16 00.00.00,,7.836869,,,,32.5465,,
1980-06-17 00.00.00,,7.8353225,,,,32.4575,,
1980-06-18 00.00.00,,7.8455455,,,,32.9748,,
1980-06-19 00.00.00,,7.787472,,,,32.8731,,
1980-06-20 00.00.00,,7.7876991,,,,33.0811,,
1980-06-23 00.00.00,,7.81064,,,,32.718,,
1980-06-24 00.00.00,,7.8254495,,,,33.0746,,
1980-06-25 00.00.00,,7.869828,,,,34.113,,
1980-06-26 00.00.00,,7.8571725,,,,34.1914,,
1980-06-27 00.00.00,,7.855467,,,,34.8713,,
1980-06-30 00.00.00,,7.7946084,,,,35.7007,1.6147,
1980-07-01 00.00.00,,7.783263,,,,36.102,,
1980-07-02 00.00.00,,7.80222,,,,36.0518,,
1980-07-03 00.00.00,,7.8857928,,,,36.1541,,
1980-07-04 00.00.00,,7.9043194,,,,36.3176,,
1980-07-07 00.00.00,,7.8582075,,,,35.9616,,
1980-07-08 00.00.00,,7.867244,,,,37.0563,,
1980-07-09 00.00.00,,7.8528762,,,,36.1132,,
1980-07-10 00.00.00,,7.8130494,,,,35.3328,,
1980-07-11 00.00.00,,7.8417225,,,,35.948,,
1980-07-14 00.00.00,,7.9204124,,,,35.113,,
1980-07-15 00.00.00,,7.9185959,,,,33.5676,,
1980-07-16 00.00.00,,7.9199465,,,,33.7677,,
1980-07-17 00.00.00,,7.9456547,,,,33.6865,,
1980-07-18 00.00.00,,8.0199243,,,,32.7785,,
1980-07-21 00.00.00,,8.0133864,,,,33.2925,,
1980-07-22 00.00.00,,7.9807478,,,,32.9641,,
1980-07-23 00.00.00,,7.963947,,,,33.977,,
1980-07-24 00.00.00,,7.95204,,,,34.5484,,
1980-07-25 00.00.00,,7.9663683,,,,35.0674,,
1980-07-28 00.00.00,,7.936775,,,,34.6846,,
1980-07-29 00.00.00,,8.0312995,,,,35.1509,,
1980-07-30 00.00.00,,8.0768628,,,,34.422,,
1980-07-31 00.00.00,,8.0690489,,,,33.8022,1.5947,
1980-08-01 00.00.00,,8.0944156,,,,34.4868,,
1980-08-04 00.00.00,,8.0708352,,,,34.8868,,
1980-08-05 00.00.00,,8.02175,,,,34.6775,,
1980-08-06 00.00.00,,8.018884,,,,34.4007,,
1980-08-07 00.00.00,,8.1334876,,,,34.6792,,
1980-08-08 00.00.00,,8.1620115,,,,34.7413,,
1980-08-11 00.00.00,,8.2127496,,,,33.972,,
1980-08-12 00.00.00,,8.1841283,,,,33.2599,,
1980-08-13 00.00.00,,8.1571334,,,,33.7526,,
1980-08-14 00.00.00,,8.2800676,,,,34.5302,,
1980-08-15 00.00.00,,8.3258234,,,,34.5067,,
1980-08-18 00.00.00,,8.2779246,,,,34.0533,,
1980-08-19 00.00.00,,8.2543794,,,,34.7131,,
1980-08-20 00.00.00,,8.2944291,,,,35.2096,,
1980-08-21 00.00.00,,8.3717763,,,,35.8049,,
1980-08-22 00.00.00,,8.448988,,,,35.6993,,
1980-08-25 00.00.00,,8.4027727,,,,,,
1980-08-26 00.00.00,,8.3977829,,,,34.9986,,
1980-08-27 00.00.00,,8.3566929,,,,35.315,,
